,speed_by_minute
451,8.8481028379
452,8.84334832721
453,9.22995460727
454,9.27008163404
455,9.4107138255
456,9.43037017276
457,9.34892305464
458,9.41930356298
459,9.4766055407
460,9.54307105324
461,9.62500414088
462,9.85875697473
463,9.94265181564
464,10.039537833
465,10.1080397364
466,10.1955718463
467,10.2858558237
468,10.2464869148
469,10.2885043087
470,10.2611884639
471,10.6464956787
472,10.7801455504
473,10.9730103101
474,10.6276491394
475,10.6359203567
476,10.6349998793
477,10.6121308389
478,10.7419536656
479,10.7472201763
480,10.8214418983
481,10.848158772
482,10.9406912407
483,10.7433120066
484,10.8243167977
485,10.8432025509
486,10.9127182239
487,10.8959809359
488,10.9295984168
489,10.9413316224
490,11.0943734231
491,11.0966323551
492,10.79808447
493,10.7115966334
494,10.5757988537
495,10.6605786378
496,10.7233088219
497,10.7655900641
498,10.8439563747
499,10.8211216462
500,10.9068787309
501,10.9693242557
502,11.0132402755
503,10.8720259843
504,10.9317555429
505,10.8468355338
506,10.9459324183
507,10.9243156099
508,10.9415788418
509,11.0672136011
510,11.0539871686
511,11.0501179989
512,11.1121888469
513,11.1092846965
514,11.1688210902
515,11.1297195826
516,11.1341020972
517,11.2399248802
518,11.2005519304
519,11.2031380513
520,11.2986172512
521,11.3539343431
522,11.3414601879
523,11.2584356207
524,11.3294296334
525,11.3568146904
526,11.4411207075
527,11.3085106615
528,11.3262448693
529,11.633532056
530,11.5112882387
531,11.5422252912
532,11.4649575501
533,11.4063464569
534,11.5055815965
535,11.488358516
536,11.4676937021
537,11.4894589694
538,11.423237081
539,11.5744145975
540,11.8155433319
541,11.7561873358
542,11.7845789771
543,11.822196144
544,11.8666289742
545,11.9053803704
546,11.8980314268
547,11.8570488728
548,11.8866002483
549,11.9285436444
550,11.6252963891
551,11.5891792559
552,11.5139580733
553,11.5830457673
554,11.6384694271
555,11.5694068661
556,11.5941240618
557,11.6897817253
558,11.6491975485
559,11.6250247555
560,11.4541560474
561,11.1442716652
562,11.2472641171
563,11.0745939521
564,11.0011615581
